tipo_agente_individual,cpf,cnpj_mei,nome_completo,nome_social_artistico,data_nascimento,email,telefone,cep,uf_residencia,municipio_residencia,endereco_completo,comunidade_tradicional,mestre_cultura_popular,genero,orientacao_sexual,cor_raca,pessoa_com_deficiencia,escolaridade,faixa_renda,anos_experiencia_cultural,acessou_recursos_5anos
Pessoa física,824.953.160-42,,Maria Liz da Rosa,Juliana Brito,04/11/1964,julia55@example.net,+55 (084) 7812 8248,20681470,RJ,Vargas do Amparo,"Lagoa Cardoso, 46
Vila Boa Vista
06561036 da Mata / AP",Ribeirinhos,True,Travesti,Heterossexual,Branca,"Sim, Múltipla, Sim, Intelectual",Ensino superior incompleto ou equivalente,Acima de 10 salários mínimos,5,Sim
Microempreendedor individual - MEI,209.674.135-16,63.809.572/0001-36,Julia Novaes,Luiz Henrique Vargas,03/08/2001,vianavinicius@example.net,+55 (011) 6581 1600,43859-779,RN,Leão do Norte,"Vila Rafaela Casa Grande, 5
Nossa Senhora Da Aparecida
60778520 da Cruz / PB","Ilhéus, Retireiros do Araguaia",True,Mulher trans,Bissexual,Amarela,"Sim, Visual, Sim, Múltipla",Ensino fundamental completo ou equivalente,De 5 a 8 salários mínimos,19,Sim
Microempreendedor individual - MEI,087.963.524-00,25.876.093/0001-43,Bella Fogaça,Cauã Oliveira,01/09/1942,novaesmaria-vitoria@example.net,(031) 4184-8232,47619008,MG,Silva,"Alameda Barros, 972
Novo Santa Cecilia
24925-701 Pimenta dos Dourados / MG","Veredeiros, Caiçaras",False,Prefere não responder,Prefere não responder,Preta,"Sim, Múltipla, Sim, outra (especificar)",Ensino médio completo ou equivalente,De 8 a 10 salários mínimos,38,Não sei
Microempreendedor individual - MEI,324.689.571-64,56.984.103/0001-98,Luigi Sampaio,,25/07/1995,pedro-miguelvieira@example.com,(071) 6865-6527,52206-306,RJ,Gonçalves do Galho,"Residencial Sá, 277
Vila Califórnia
90509173 Duarte de Fernandes / MG",Povos indígenas,True,Não binário,Heterossexual,Amarela,"Sim, Visual",Curso técnico incompleto,Nenhuma renda,23,Sim
Microempreendedor individual - MEI,836.250.719-59,26.801.374/0001-08,Sra. Rebeca Silva,Dra. Joana Nunes,14/03/2005,sousaana-carolina@example.org,11 0860 6899,64201717,AM,Farias Grande,"Vereda Nicole Nunes, 78
Vila Fumec
91336889 Cavalcante da Mata / SE","Juventude de povos e comunidades tradicionais, Benzedeiros",True,Travesti,Lésbica,Preta,"Sim, outra (especificar), Sim, Transtorno do Espectro Autista",Pós-graduação incompleto,Acima de 10 salários mínimos,20,Sim
Pessoa física,396.217.854-64,,João Gabriel Azevedo,,19/09/1969,egoncalves@example.net,+55 84 2870 1966,99305-997,MG,Cunha,"Pátio de da Paz, 589
Cônego Pinheiro 2ª Seção
33062706 Pires / AP","Comunidades de fundos e fechos de pasto, Veredeiros",False,Homem trans,Outra,Preta,"Sim, Física-motora, Sim, Transtorno do Espectro Autista",Ensino superior incompleto ou equivalente,Acima de 10 salários mínimos,2,Não sei
Pessoa física,451.376.928-91,,Danilo Marques,Sarah Farias,03/08/1978,lucas-gabriel07@example.org,(041) 9817-1786,81377975,AM,Oliveira,"Quadra Gomes, 34
Dona Clara
83127716 Rios do Norte / PE","Ribeirinhos, Povos e comunidades de terreiro/de matriz africana",True,Mulher cisgênero,Heterossexual,Branca,"Sim, outra (especificar)",Não possui educação formal,Até 1 salário mínimo,21,Não
Microempreendedor individual - MEI,674.219.058-20,87.610.293/0001-07,Maria Luiza Fogaça,Lunna Almeida,11/10/1975,kramos@example.org,+55 (011) 6114-9126,82152-318,ES,Pereira,"Quadra Henry Rocha, 26
Minaslandia
90458-628 Costela / CE",Pantaneiros,False,Não binário,Gay,Amarela,"Não, Sim, Transtorno do Espectro Autista",Ensino médio incompleto ou equivalente,De 5 a 8 salários mínimos,31,Não
Pessoa física,082.935.761-03,,Dra. Maitê Garcia,,07/06/1939,jlopes@example.net,+55 61 3664 0444,93212-581,MS,Sampaio Alegre,"Passarela de Rodrigues
Guarani
98087-406 Casa Grande / MG",Povos e comunidades de terreiro/de matriz africana,False,Homem trans,Lésbica,Parda,"Sim, Intelectual",Ensino superior completo,Até 1 salário mínimo,9,Sim
Microempreendedor individual - MEI,178.459.230-79,53.186.479/0001-69,Allana Rios,,02/03/1953,novaesrafael@example.com,(051) 1818 7246,46833-943,RS,Lima dos Dourados,"Rodovia José Miguel Caldeira
Vila São João Batista
49224753 Rodrigues do Oeste / MT","Povo pomerano, Caboclos",True,Mulher trans,Gay,Branca,"Sim, Múltipla, Não",Ensino fundamental incompleto ou equivalente,Acima de 10 salários mínimos,46,Não
