nome_grupo_coletivo,qtd_membros_coletivo,nome_representante_coletivo,cpf_representante_coletivo,email_coletivo,telefone_coletivo,cep_coletivo,endereco_coletivo,municipio_coletivo,uf_coletivo,anos_atuacao_coletivo,acessou_recursos_5anos_col
Porto,45,Luiz Felipe Nogueira,231.980.675-02,vsales@example.net,61 3697-9655,77854-034,"Viela Lopes
Bom Jesus
82640142 Siqueira Paulista / PE",Monteiro de Caldeira,AM,14,Sim
da Paz,31,Sra. Maria Cecília Pinto,593.842.761-46,sofiada-conceicao@example.com,+55 31 0395 0579,82265-812,"Viela Câmara, 75
Santa Sofia
66448592 da Cunha / RR",da Mota,ES,49,Sim
Novais Câmara S.A.,22,Francisco da Cunha,012.965.843-05,ufonseca@example.net,+55 (011) 1591 8172,41016-663,"Trevo Rios, 6
Maravilha
16967970 Moura Alegre / MS",Fernandes da Serra,AL,37,Não
Peixoto,22,Maria Vitória da Luz,543.986.720-10,gda-cunha@example.com,+55 (011) 2196 7188,18879790,"Núcleo Caleb Ferreira, 98
Mala E Cuia
13057-806 Novais de Goiás / AC",Peixoto das Pedras,SE,48,Não sei
Mendonça,7,Felipe Silveira,681.403.975-39,catarinafarias@example.org,(011) 5453-3850,26297-736,"Lago Isaque Camargo, 96
Caetano Furquim
15932-787 Gomes / AM",Caldeira Paulista,SE,18,Sim
Vieira Siqueira Ltda.,22,Maria Flor Andrade,624.198.037-87,eduardo92@example.net,+55 (071) 6314-8150,34699-797,"Área Maria Fernanda Guerra, 390
Santa Maria
64023722 Castro dos Dourados / MT",Freitas,PI,43,Não
Santos Jesus S/A,13,Catarina Ramos,746.051.982-02,pmonteiro@example.net,+55 51 0452 5714,70228472,"Praça de Nascimento, 16
Aparecida 7ª Seção
25213-054 Fogaça / BA",Nascimento,RO,17,Não
Siqueira,11,Sarah Cirino,261.870.439-87,leaoian@example.net,81 5712-3086,85661821,"Avenida Cecília Rezende, 1
Bom Jesus
84177910 Azevedo / PR",Siqueira,PR,20,Sim
Machado - ME,19,Gabriela Azevedo,286.074.391-03,augusto79@example.net,+55 51 8818 7510,77129087,"Colônia Samuel Leão, 7
Guaratã
97282-132 Borges da Serra / RN",Siqueira,MA,42,Sim
Sá,49,Anthony Gabriel das Neves,532.861.407-08,saalicia@example.com,(061) 4588 1083,89188-767,"Rodovia Caio Cassiano, 7
Vila Sumaré
01703911 Vargas / PE",Câmara,RS,40,Não sei
