tipo_pessoa_juridica,cnpj,razao_social,nome_fantasia,data_fundacao,nome_representante_legal,cpf_representante_legal,email_organizacao,telefone_organizacao,cep_sede,endereco_sede,municipio_sede,uf_sede,anos_atuacao_cultural,acessou_recursos_5anos_org
Pessoa Jurídica com fins lucrativos (empresas),39.705.648/0001-07,da Mota,,17/10/2019,Isabella Vieira,385.294.761-82,cauacastro@example.net,+55 (061) 0623 4442,63364-792,"Lago Yasmin Aragão, 35
Alpes
55873-940 Pastor das Flores / DF",Moraes da Prata,AM,42,Não sei
Pessoa Jurídica sem fins lucrativos (OSCs),62.580.479/0001-30,Cirino S.A.,da Mata - ME,21/06/1996,Luana Gonçalves,736.529.481-73,mateusmendes@example.org,21 2349-7901,15420812,"Lagoa de Cunha, 18
Dom Cabral
31439-431 Rios / MG",Silveira das Flores,RN,47,Não sei
Pessoa Jurídica com fins lucrativos (empresas),90.218.745/0001-14,Duarte S.A.,Cavalcanti - EI,14/02/1932,Dra. Alice Albuquerque,361.825.497-00,camaraluiz-henrique@example.com,(081) 6014-8655,64791204,"Estação de Carvalho
Lindéia
55772633 Almeida / PB",Costela,TO,8,Não
Pessoa Jurídica sem fins lucrativos (OSCs),63.751.928/0001-28,Andrade,,13/03/1996,Vitor Gabriel Moreira,198.247.635-46,wrios@example.com,(011) 4681 1887,53641-845,"Vila de Casa Grande, 9
Vila Primeiro De Maio
96610009 Martins de Goiás / RO",Dias do Amparo,MG,6,Sim
Pessoa Jurídica sem fins lucrativos (OSCs),87.901.256/0001-58,Carvalho,,02/07/1930,Sr. Ravi Porto,697.312.504-25,marianasilva@example.org,31 4340 7809,44702936,"Colônia de Jesus, 28
Vila Santo Antônio Barroquinha
87963-241 da Costa de Pacheco / RJ",Mendes,AM,80,Não sei
Pessoa Jurídica sem fins lucrativos (OSCs),30.679.512/0001-97,da Mota Ramos S/A,da Costa,31/10/1939,Igor Jesus,603.472.598-47,hnunes@example.net,41 4534 1992,84607655,"Lagoa Ana Carolina da Mata, 95
Novo Das Industrias
71981-457 Moreira de Cavalcanti / PR",da Rocha Grande,RO,57,Não
Pessoa Jurídica com fins lucrativos (empresas),69.432.810/0001-13,da Costa Albuquerque - EI,,14/09/1928,Marina Caldeira,805.239.674-38,qgomes@example.com,+55 84 9862 1386,14421155,"Lagoa de Vasconcelos
Novo Das Industrias
76389-496 da Mota do Campo / PB",Teixeira das Flores,RR,32,Não
Pessoa Jurídica com fins lucrativos (empresas),73.910.584/0001-06,Rodrigues,Nascimento,15/04/1989,Davi Lucas Araújo,609.748.235-38,xvargas@example.com,+55 (071) 6796 8348,56988-614,"Passarela Valentim Ramos, 18
Boa Vista
81299963 Oliveira do Norte / ES",Pereira,RS,45,Não sei
Pessoa Jurídica com fins lucrativos (empresas),61.928.473/0001-48,Albuquerque,Correia Ltda.,18/01/2013,Maria Isis Barros,867.321.590-03,luigi41@example.org,(051) 1851-6227,20852-112,"Praia Ribeiro, 51
Coqueiros
19436239 Novais de Goiás / RR",Nunes das Flores,ES,41,Sim
Pessoa Jurídica com fins lucrativos (empresas),80.659.234/0001-84,da Cunha Camargo e Filhos,,19/12/1957,Juan Araújo,803.762.195-21,cassianojoao-lucas@example.com,+55 (084) 9501 4597,29658036,"Viela Camargo, 962
Ouro Preto
98964-846 Moura da Prata / PI",Novais,PI,73,Não sei
