identificador_edital,cpf_responsavel_execucao,cnpj_responsavel_execucao,data_inicio_execucao,data_termino_execucao,valor_recebido_pnab,data_recebimento_recurso,recebeu_recursos_outras_fontes,valor_recursos_outras_fontes,qtd_pessoas_remuneradas_exec,cpfs_remunerados,formato_execucao,cep_local_execucao
Edital-PNAB-2025-004,104.965.823-05,,30/07/2025,09/10/2025,38999.1,06/06/2025,"Não, a ação não possui outras fontes de recursos financeiros",0.0,3,"960.781.425-85, 836.194.205-05, 654.192.038-98",Não aplicável,
Edital-PNAB-2025-003,594.603.817-66,,16/11/2024,24/11/2024,16773.2,07/11/2024,"Não, a ação não possui outras fontes de recursos financeiros",0.0,19,"845.910.623-33, 413.607.289-96, 258.179.043-14, 832.967.145-37, 039.628.574-00, 953.876.401-39, 234.578.610-80, 287.065.194-58, 619.347.250-99, 184.652.097-58, 270.569.148-02, 483.126.059-24, 701.269.835-77, 179.648.523-37, 824.763.190-31, 465.398.072-10, 150.469.872-01, 031.926.785-77, 382.546.901-89",Presencialmente em local fixo,31165-667
Edital-PNAB-2025-007,019.352.764-25,,22/09/2025,15/01/2026,89622.06,01/09/2025,Recursos de Lei de Incentivo Municipal,56153.01,10,"387.196.240-69, 179.054.632-06, 267.318.045-17, 064.832.571-71, 234.107.596-70, 097.461.823-31, 218.573.094-05, 901.354.278-60, 534.812.690-05, 071.948.265-85",Remotamente/Online,
Edital-PNAB-2025-005,,13.529.864/0001-47,02/11/2025,28/01/2026,18024.91,08/09/2025,"Patrocínio privado direto, Cobrança de ingressos",21897.15,1,804.591.263-42,Não aplicável,
Edital-PNAB-2025-015,824.971.605-11,,16/08/2025,06/09/2025,84149.97,16/07/2025,"Patrocínio privado direto, Cobrança de ingressos, Recursos de Lei de Incentivo Estadual",56661.18,1,874.605.319-01,Não aplicável,
Edital-PNAB-2025-008,,52.419.378/0001-28,14/10/2024,13/12/2024,130373.1,02/10/2024,"Vendas de produtos, Patrocínio privado direto",13849.67,11,"018.574.963-10, 620.897.543-38, 156.489.702-85, 602.573.148-90, 160.839.452-24, 438.051.792-60, 145.783.206-26, 429.067.318-03, 681.347.205-44, 083.279.651-40, 148.532.679-64",Presencialmente itinerante,36629946
Edital-PNAB-2025-009,048.137.265-26,,15/06/2025,25/11/2025,28157.38,01/05/2025,Doações de Pessoas Físicas,30976.98,20,"739.651.042-25, 134.965.082-05, 719.354.826-37, 763.150.489-00, 287.041.653-90, 785.634.921-28, 278.916.340-50, 471.528.693-91, 812.963.570-40, 168.243.507-53, 690.843.571-75, 468.957.130-93, 467.032.598-10, 720.345.961-61, 279.083.561-68, 596.237.018-02, 805.179.432-04, 302.169.874-31, 745.189.036-84, 104.753.628-53",Não aplicável,
Edital-PNAB-2025-008,,93.152.406/0001-70,29/12/2024,13/01/2025,36670.07,30/10/2024,"Não, a ação não possui outras fontes de recursos financeiros",0.0,10,"056.829.741-58, 716.253.840-17, 847.369.210-13, 147.938.560-39, 752.319.486-91, 940.817.523-97, 783.596.402-38, 436.512.978-37, 685.273.914-73, 319.204.856-51",Em formato híbrido,49894-134
Edital-PNAB-2025-009,524.097.136-61,,17/01/2025,12/06/2025,131826.04,28/12/2024,"Não, a ação não possui outras fontes de recursos financeiros",0.0,20,"084.513.976-20, 798.210.654-49, 167.048.953-10, 139.486.725-55, 794.683.250-83, 913.582.074-88, 281.703.496-13, 403.256.789-10, 436.091.587-00, 102.674.598-58, 746.285.310-80, 906.524.783-10, 304.781.926-22, 426.530.718-35, 591.672.348-28, 460.372.915-43, 680.543.972-83, 857.930.164-57, 478.069.125-76, 480.937.165-48",Em formato híbrido,27484677
Edital-PNAB-2025-013,782.314.506-53,,19/01/2025,28/03/2025,23525.66,03/01/2025,"Recursos de Lei de Incentivo Federal, Cobrança de ingressos, Patrocínio de instituição internacional",71928.01,12,"654.902.731-43, 278.964.315-64, 396.180.257-21, 692.301.754-80, 187.059.326-02, 174.283.096-03, 570.481.293-79, 618.372.095-02, 045.231.867-07, 928.104.375-05, 723.958.610-30, 742.039.851-88",Remotamente/Online,
Edital-PNAB-2025-008,,47.913.508/0001-44,04/08/2025,09/12/2025,16363.68,26/06/2025,"Não, a ação não possui outras fontes de recursos financeiros",0.0,3,"654.820.317-80, 907.621.583-95, 942.506.718-01",Presencialmente itinerante,21456-232
Edital-PNAB-2025-006,854.612.397-73,,16/09/2025,03/10/2025,59560.79,02/08/2025,"Doações de Empresas, Recursos de Lei de Incentivo Federal",77715.19,0,,Não aplicável,
Edital-PNAB-2025-004,,17.986.320/0001-65,04/10/2025,18/03/2026,53005.79,09/08/2025,"Não, a ação não possui outras fontes de recursos financeiros",0.0,5,"604.783.291-13, 965.071.384-01, 931.582.604-33, 094.385.127-05, 675.894.320-83",Em formato híbrido,17964-053
Edital-PNAB-2025-001,,73.509.246/0001-67,30/04/2025,15/06/2025,77629.21,22/03/2025,"Não, a ação não possui outras fontes de recursos financeiros",0.0,20,"643.079.128-96, 053.146.927-16, 938.214.057-32, 284.610.739-40, 539.012.687-40, 819.362.075-59, 904.358.712-50, 617.530.489-66, 124.756.893-82, 786.059.132-40, 365.897.420-65, 569.728.143-91, 198.036.245-98, 985.703.241-97, 048.297.153-32, 315.642.089-15, 680.452.731-35, 458.017.362-71, 013.765.298-40, 451.078.623-90",Remotamente/Online,
Edital-PNAB-2025-007,,76.943.520/0001-08,13/02/2025,27/03/2025,82288.72,14/01/2025,"Apoio financeiro municipal, Cobrança de ingressos, Patrocínio privado direto",39599.85,3,"815.302.649-60, 036.495.187-75, 248.905.361-24",Remotamente/Online,
Edital-PNAB-2025-010,,26.348.901/0001-62,18/12/2024,18/02/2025,132067.41,08/12/2024,Outros,39393.25,2,"069.372.841-87, 641.302.789-40",Outros,16136-968
Edital-PNAB-2025-005,645.129.073-43,,12/12/2024,24/01/2025,41963.32,31/10/2024,"Recursos de Lei de Incentivo Estadual, Doações de Empresas",60665.95,6,"893.625.104-05, 243.186.075-26, 795.682.130-40, 794.628.013-04, 478.062.953-56, 986.345.017-01",Não aplicável,
Edital-PNAB-2025-010,972.036.854-38,,23/03/2025,06/09/2025,57892.81,02/02/2025,"Apoio financeiro estadual, Recursos de Lei de Incentivo Estadual",18751.09,10,"820.153.497-23, 594.362.071-07, 159.483.270-60, 512.763.890-86, 486.521.079-20, 850.261.439-89, 392.107.548-32, 526.179.483-82, 065.781.324-90, 738.291.654-55",Presencialmente em local fixo,46886-239
Edital-PNAB-2025-008,,40.762.985/0001-07,30/11/2024,19/12/2024,107052.62,23/11/2024,"Não, a ação não possui outras fontes de recursos financeiros",0.0,2,"814.092.376-13, 613.972.085-03",Presencialmente em local fixo,85361-530
Edital-PNAB-2025-011,152.907.348-05,,12/03/2025,12/05/2025,43936.16,01/02/2025,"Recursos de Lei de Incentivo Municipal, Cobrança de ingressos, Vendas de produtos",38341.01,15,"790.862.153-86, 143.205.976-99, 197.460.825-58, 460.921.375-34, 851.469.072-85, 065.279.841-11, 315.802.497-79, 792.610.345-43, 309.825.741-50, 403.268.519-33, 568.937.201-30, 754.603.819-75, 845.062.913-60, 962.537.801-40, 964.508.317-66",Em formato híbrido,29702135
Edital-PNAB-2025-007,602.537.418-07,,03/03/2025,19/08/2025,66364.52,18/02/2025,"Outros, Apoio financeiro municipal",54195.8,20,"925.387.104-05, 276.409.831-69, 347.106.589-00, 715.920.684-30, 253.018.476-35, 589.341.067-00, 679.834.051-20, 178.542.960-49, 260.874.135-53, 253.946.017-80, 842.579.063-83, 928.546.730-00, 019.542.863-33, 907.542.618-67, 647.059.132-99, 793.241.685-09, 562.874.013-62, 714.385.069-10, 693.812.407-87, 789.326.041-69",Presencialmente em local fixo,33950-047
Edital-PNAB-2025-002,740.693.182-40,,13/07/2025,08/10/2025,120687.1,21/05/2025,"Não, a ação não possui outras fontes de recursos financeiros",0.0,6,"650.374.192-80, 167.842.035-26, 658.421.973-91, 809.712.345-23, 289.746.135-73, 957.842.301-23",Presencialmente itinerante,16940-974
Edital-PNAB-2025-015,,93.048.157/0001-78,16/07/2025,01/09/2025,43946.14,12/06/2025,"Não, a ação não possui outras fontes de recursos financeiros",0.0,2,"301.789.265-40, 639.478.025-10",Em formato híbrido,85786527
Edital-PNAB-2025-004,859.762.304-74,,07/11/2025,26/03/2026,125896.06,20/09/2025,Recursos de Lei de Incentivo Municipal,33106.71,15,"489.125.673-73, 579.482.601-02, 652.709.814-67, 473.192.508-88, 938.054.126-06, 016.253.974-61, 082.356.479-74, 459.806.127-85, 269.035.174-99, 094.768.213-96, 897.143.205-50, 527.981.064-94, 432.958.671-19, 169.783.204-04, 463.725.980-00",Presencialmente itinerante,53017-426
Edital-PNAB-2025-013,841.526.709-67,,11/07/2025,17/10/2025,3316.84,24/06/2025,"Recursos de Lei de Incentivo Federal, Patrocínio de instituição internacional",56030.73,17,"729.548.361-64, 839.540.721-14, 190.645.827-85, 257.081.364-80, 072.435.981-88, 406.281.539-70, 510.736.284-26, 265.387.409-10, 512.436.870-53, 094.357.621-07, 397.216.540-43, 069.187.423-96, 703.589.462-47, 024.157.836-17, 342.581.967-46, 082.563.491-15, 685.739.142-46",Não aplicável,
Edital-PNAB-2025-016,,87.361.259/0001-46,30/12/2024,16/03/2025,35002.03,11/12/2024,"Não, a ação não possui outras fontes de recursos financeiros",0.0,17,"086.345.179-93, 435.708.269-29, 046.587.932-29, 983.712.406-78, 317.854.690-10, 854.367.219-82, 587.306.291-95, 560.419.782-30, 423.817.596-46, 478.312.506-62, 280.475.631-90, 231.570.698-02, 507.938.421-23, 094.728.365-00, 182.964.753-91, 615.394.820-06, 410.735.928-04",Presencialmente em local fixo,02176591
Edital-PNAB-2025-011,803.154.769-66,,23/09/2025,20/02/2026,73087.91,13/09/2025,"Recursos de Lei de Incentivo Municipal, Apoio financeiro municipal, Doações de Empresas",7328.81,5,"140.927.658-94, 614.879.325-37, 621.458.037-26, 315.467.980-48, 478.129.360-31",Presencialmente em local fixo,19431-142
Edital-PNAB-2025-003,,26.590.741/0001-63,29/03/2025,29/04/2025,141414.63,25/02/2025,"Cobrança de ingressos, Apoio financeiro municipal, Outros",7476.69,18,"754.016.832-35, 896.075.234-74, 956.023.478-10, 982.531.467-28, 472.013.859-41, 715.283.940-97, 240.398.615-15, 562.784.139-73, 265.973.148-91, 465.091.728-01, 739.620.851-30, 243.951.780-14, 796.483.015-57, 135.974.026-07, 561.082.749-30, 756.384.190-39, 714.305.862-90, 573.482.901-32",Outros,51401-051
Edital-PNAB-2025-009,,23.941.785/0001-00,08/08/2025,28/10/2025,38086.84,20/06/2025,"Vendas de produtos, Recursos de Lei de Incentivo Federal, Doações de Pessoas Físicas",25978.0,2,"362.159.407-80, 768.051.439-93",Presencialmente em local fixo,82553714
Edital-PNAB-2025-015,785.436.920-83,,29/06/2025,14/11/2025,34333.68,18/06/2025,"Não, a ação não possui outras fontes de recursos financeiros",0.0,11,"597.412.063-99, 513.208.679-95, 869.417.350-66, 782.413.906-96, 570.628.349-47, 687.359.421-00, 721.409.856-30, 384.197.520-88, 914.672.058-85, 836.051.274-44, 451.307.926-61",Presencialmente em local fixo,29233-095
Edital-PNAB-2025-008,,48.275.693/0001-51,20/05/2025,30/06/2025,67413.13,25/04/2025,"Cobrança de ingressos, Vendas de produtos",42786.31,17,"481.730.259-32, 239.571.840-88, 946.370.812-03, 578.240.961-49, 516.837.942-73, 452.937.086-00, 701.693.485-39, 324.180.567-08, 520.398.167-12, 103.789.426-03, 095.683.147-84, 361.508.279-68, 269.581.073-30, 927.851.436-55, 318.704.962-13, 523.890.167-40, 043.865.127-80",Remotamente/Online,
Edital-PNAB-2025-004,,03.789.162/0001-49,15/02/2025,17/03/2025,133787.77,23/01/2025,Recursos de Lei de Incentivo Federal,23258.75,6,"910.268.354-70, 582.630.479-00, 043.967.281-31, 691.548.730-10, 413.689.250-06, 463.018.795-20",Não aplicável,
